魔法の威力の計算
魔法の種類の基礎威力(大魔法なら0.3倍)*文字数によるボーナス(1.1^文字数)*その他のボーナス(大魔法なら3倍)

魔法の消費MPの計算
魔法の種類の基礎威力*文字数によるボーナス(1.1^文字数)*大魔法なら3倍*その他のボーナス

魔法タイプ,実装上の説明
通常魔法弾,指定方向へ単発の弾を発射する
小型魔法弾,小さい弾を短い詠唱で発射する
魔法バレット,通常魔法弾より速い弾を発射する
追加魔法弾,属性ごとに特殊効果を持つ弾を発射する
重魔法弾,大きく遅い弾を発射する
魔法アロー,細く速い直線弾を発射する
魔法ニードル,小型の針状弾を発射する
魔法ランス,前方へ長い貫通弾を発射する
魔法スピア,前方へ中距離の刺突弾を発射する
貫通魔法,敵を貫通する弾を発射する
魔法斬撃,前方へ斬撃判定を発生させる
魔法エッジ,前方へ細い斬撃弾を発射する
扇形範囲攻撃,前方扇形範囲に攻撃判定を発生させる
前方範囲攻撃,前方の広い範囲に攻撃判定を発生させる
自分中心単発範囲攻撃,自分を中心に一度だけ範囲攻撃を発生させる
自分中心爆発,自分を中心に爆発判定を発生させる
自分中心大型範囲攻撃,自分を中心に広範囲の攻撃判定を発生させる
敵中心単発範囲攻撃,対象の敵を中心に一度だけ範囲攻撃を発生させる
敵中心状態攻撃,対象の敵を中心に攻撃し状態異常を付与する
大爆発,指定地点または対象を中心に大きな爆発判定を発生させる
継続範囲攻撃,指定地点に一定時間残る範囲ダメージを発生させる
大型継続範囲攻撃,広い範囲に一定時間残る範囲ダメージを発生させる
敵追従継続範囲攻撃,対象の敵に追従する継続範囲ダメージを付与する
敵追従オーラ,対象の敵を中心に継続する範囲判定を発生させる
地面範囲攻撃,地面上の指定範囲に攻撃判定を発生させる
壁魔法,指定位置に壁判定を生成する
バリケード,指定位置に通行妨害用の障害物を生成する
防御魔法,対象に被ダメージ軽減または無効化効果を付与する
防御シェル,対象に一定耐久値を持つ防御判定を付与する
バフ魔法,対象に一定時間の能力上昇効果を付与する
速度バフ,対象に移動速度または詠唱速度上昇を付与する
回復魔法,対象のHPを回復する
範囲回復,指定範囲内の味方のHPを回復する
魔法ビーム,指定方向へ持続する直線攻撃判定を発生させる
魔法レイ,指定方向へ高精度の直線攻撃判定を発生させる
高威力レイ,指定方向へ高威力の直線攻撃判定を発生させる
ファンネル,一定時間追従する攻撃ユニットを生成する
チェイン攻撃,命中した敵から近くの敵へ攻撃を連鎖させる
設置攻撃,指定位置に攻撃判定を発生させる設置物を生成する
トーテム,指定位置に攻撃・回復・支援を行う設置物を生成する
召喚,一定時間行動する召喚ユニットを生成する
突進魔法,指定方向へ移動しながら攻撃判定を発生させる
複数落下攻撃,指定範囲内に複数の落下攻撃を発生させる
レイン攻撃,指定範囲内に一定時間複数の落下攻撃を発生させる
単体落下攻撃,指定地点または対象に単発の落下攻撃を発生させる
大型落下攻撃,指定地点に大型の落下攻撃を発生させる
最上級魔法,高威力かつ広範囲の上位攻撃を発生させる
災厄魔法,非常に広い範囲に高威力の攻撃を発生させる
特殊大技,属性ごとに個別仕様を持つ高威力魔法として処理する
帰還魔法,プレイヤーを拠点または指定地点へ移動させる
移動魔法,プレイヤーを短距離または指定地点へ移動させる
蘇生魔法,戦闘不能の味方を復活させる
所持品魔法,インベントリ画面を開く
スペル一覧魔法,スペル一覧画面を開く
ルーン一覧魔法,ルーン一覧画面を開く
